Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-DEC-2025|AADI|EQUITY|7786891760|6975|69597095|5046078237|10938169|41|1895224186|71686431|27229079|1736800|75275|7122565313|1150700|50371786|61079493|200030613|2671905|235039563|40735675|2624400|70622312|664326447
30-DEC-2025|AALI|EQUITY|1924688333|7375|64343616|26761398|5385818|49700|141500956|4918133|116423|3801512|4742227|251619783|1179000|18630608|25996131|15918987|1092152|36548994|28108474|190500|11512464|139177310
30-DEC-2025|ABBA|EQUITY|3935892857|55|0|2366668705|0|0|1066516065|0|482|71|0|3433185323|0|1320400|0|41020085|396600|0|1733900|0|0|44470985
30-DEC-2025|ABDA|EQUITY|620806680|3610|0|40448|0|98|435857|0|7525|494284|20|978232|538555304|21728234|0|28003600|400|0|30503300|0|0|618790838
30-DEC-2025|ABMM|EQUITY|2753165000|2780|1847600|1493162833|86000|0|421763300|320000|1426192|0|0|1918605925|0|805140779|3242509|6164532|191900|10347367|3665109|0|5806879|834559075
30-DEC-2025|ACES|EQUITY|17120389700|410|378734100|10858420300|107895500|6200000|2168551191|297614618|11349305|15723814|10539900|13855028728|6415500|364510130|169410114|576604689|5576200|1023457644|148752080|0|970534615|3265260972
30-DEC-2025|ACRO|EQUITY|3469209121|87|0|1661400|0|0|3317788319|0|102|0|0|3319449821|0|0|0|5568100|144085900|0|105300|0|0|149759300
30-DEC-2025|ACST|EQUITY|17675160000|136|0|16206606535|0|0|1448769100|0|1171|0|80|17655376886|0|140|0|7237744|10691935|0|1853295|0|0|19783114
30-DEC-2025|ADCP|EQUITY|22222222200|57|0|450143800|1200000|0|1567819400|0|6558700|400|164376200|2190098500|0|0|0|27333600|4576100|0|214000|0|0|32123700
30-DEC-2025|ADES|EQUITY|589896800|15425|0|2605600|0|350|42468477|100|471|0|0|45074998|0|539011710|60300|4127364|113400|111500|392600|0|316000|544132874
30-DEC-2025|ADHI|EQUITY|8407608979|268|23082484|323370073|53760154|3000000|2270756241|1365902|222504217|15300235|985047|2914124353|0|3444146|2622100|23171996|25965846|18442158|7250605|0|3803983|84700834
30-DEC-2025|ADMF|EQUITY|1235803109|8600|5177593|686188|106600|930516154|43178349|8093200|188928|70|0|987947082|0|185735|530139|234129314|3866918|864212|8171109|8600|0|247756027
30-DEC-2025|ADMG|EQUITY|3889179559|220|1030000|1399506693|2290400|0|502752287|83|450027|0|0|1906029490|0|18062|0|6814828|2632300|0|4356696|0|1925414417|1939236303
30-DEC-2025|ADMR|EQUITY|40882331500|1560|448527200|35997550791|63277300|0|2010474375|503476267|4321175|33462500|200000|39061289608|11085700|540484937|67365330|746753945|4940200|208199546|94156734|0|148055500|1821041892
30-DEC-2025|ADRO|EQUITY|29389689400|1810|587888232|16371942053|90226968|1600|8631900028|461031988|70091926|13070700|737000|26226890495|10786600|645014917|255761126|304593214|11427642|1271533235|213151598|30087300|420443273|3162798905
30-DEC-2025|AEGS|EQUITY|1006080721|59|0|22102900|0|0|312002171|0|50|0|0|334105121|0|0|0|121800|1098200|0|64755600|0|0|65975600
30-DEC-2025|AGAR|EQUITY|1000000000|236|0|798985100|0|0|200728900|0|0|0|0|999714000|0|200|0|47400|25200|0|213200|0|0|286000
30-DEC-2025|AGII|EQUITY|3066660000|1515|5942600|1020181729|1915300|0|164366991|10867300|60|1111100|0|1204385080|0|993823720|0|13799500|10564500|3165400|9778800|0|0|1031131920
